RIC,Monthly Return,Financial report,SDI
1477.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0103/2024010302045.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0926/2023092600881.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0425/2023042501560.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=1477&src=MAIN&lang=EN&g_lang=en
0011.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010201372.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0808/2023080800244.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0310/2023031000328.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=11&src=MAIN&lang=EN&g_lang=en
0151.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0104/2024010400249.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/1214/2023121400684.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0720/2023072000236.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/10/2023&sced=31/12/2023&sc=151&src=MAIN&lang=EN&g_lang=en
0806.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010200229.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0824/2023082400834.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0329/2023032900546.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=806&src=MAIN&lang=EN&g_lang=en
0909.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0103/2024010300778.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0913/2023091300309.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0424/2023042402102.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=909&src=MAIN&lang=EN&g_lang=en
0975.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0104/2024010401158.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0922/2023092200446.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0426/2023042602473.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=975&src=MAIN&lang=EN&g_lang=en
1398.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010202928.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0926/2023092600287.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0426/2023042600550.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=1398&src=MAIN&lang=EN&g_lang=en
1658.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0104/2024010400633.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0915/2023091500019.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0425/2023042500143.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=1658&src=MAIN&lang=EN&g_lang=en
1787.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010201366.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0926/2023092600291.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0426/2023042601316.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=1787&src=MAIN&lang=EN&g_lang=en
3759.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0104/2024010400675.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0925/2023092500307.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0428/2023042803359.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=3759&src=MAIN&lang=EN&g_lang=en
3969.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0105/2024010500843.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0914/2023091400355.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0421/2023042100325.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=3969&src=MAIN&lang=EN&g_lang=en
0002.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010200723.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0811/2023081100536.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0310/2023031000520.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=2&src=MAIN&lang=EN&g_lang=en
0038.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010202588.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0918/2023091800435.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0420/2023042001393.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=38&src=MAIN&lang=EN&g_lang=en
0069.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010202555.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0921/2023092100802.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0425/2023042501489.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=69&src=MAIN&lang=EN&g_lang=en
0136.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0105/2024010500511.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0922/2023092200399.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0419/2023041901145.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=136&src=MAIN&lang=EN&g_lang=en
0271.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0103/2024010301521.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0914/2023091400508.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0419/2023041900457.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=271&src=MAIN&lang=EN&g_lang=en
0933.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0105/2024010501364.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0818/2023081800801.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0620/2023062000028.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=933&src=MAIN&lang=EN&g_lang=en
0981.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0105/2024010501206.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0905/2023090500738.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0420/2023042000809.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=981&src=MAIN&lang=EN&g_lang=en
0990.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0103/2024010301131.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0922/2023092201540.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0427/2023042703669.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=990&src=MAIN&lang=EN&g_lang=en
1055.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0103/2024010301123.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0920/2023092000764.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0426/2023042600538.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=1055&src=MAIN&lang=EN&g_lang=en
1182.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010202627.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/1221/2023122100588.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0724/2023072400586.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/10/2023&sced=31/12/2023&sc=1182&src=MAIN&lang=EN&g_lang=en
1310.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010200757.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/1115/2023111500189.pdf,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/09/2023&sced=31/12/2023&sc=1310&src=MAIN&lang=EN&g_lang=en
